fecha_hora,url,profundidad,tipo,archivo_guardado,palabras_extraidas,notas
2026-05-04T20:28:07,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/es-posible-solicitar-exoneracion-del-cobro-del-curso-de-ingles-por-motivos-de-salud,1,ignorada,,0,"words=212,kw=4,method=simple"
2026-05-04T20:28:10,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/pague-y-mi-boleta-sigue-pendiente-que-debo-hacer,1,ignorada,,0,"words=221,kw=3,method=simple"
2026-05-04T20:28:16,https://actualizatusdatos.upc.edu.pe,1,ignorada,,0,"words=14,kw=1,method=playwright"
2026-05-04T20:28:19,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/que-tramites-tengo-que-realizar-para-que-mis-padres-tengan-comunicados-referentes-a-las-cuotas-por-vencer-y-las-cuotas-vencidas-pregrado,1,ignorada,,0,"words=233,kw=5,method=simple"
2026-05-04T20:28:28,https://www.upc.edu.pe/servicios/contacto-para-alumnos-upc/calendario/index.html,1,ignorada,,0,"words=52,kw=3,method=playwright"
2026-05-04T20:28:32,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/puedo-cambiar-las-fechas-de-pago,1,ignorada,,0,"words=208,kw=3,method=simple"
2026-05-04T20:28:36,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/por-que-tengo-que-pagar-cada-semestre-matricula,1,ignorada,,0,"words=235,kw=6,method=simple"
2026-05-04T20:28:39,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/si-estudio-en-otra-institucion-de-la-red-laureate-pago-mis-boletas-normales-como-si-estuviera-estudiando-en-upc,1,html,/tmp/upc_documents/html_text/becas/explora_upc_edu_pe_77750-asesoramiento-en-cobranzas-y-pagos_si-estudio-en-otra-i_319bec72.txt,380,"method=simple,kw=5"
2026-05-04T20:28:44,http://www.upc.edu.pe/servicios/vida-universitaria/grupos-upc,1,html,/tmp/upc_documents/html_text/otros/www_upc_edu_pe_servicios_vida-universitaria_grupos-upc_6861d777.txt,433,"method=simple,kw=4"
2026-05-04T20:28:44,http://www.upc.edu.pe/servicios/vida-universitaria/documentos/plan-de-trabajo-grupos-upc-2026-1.pdf,2,error,,0,HTTP 404
2026-05-04T20:28:48,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/la-universidad-costea-los-gastos-del-grupo-que-quiero-formar-pregrado,1,ignorada,,0,"words=246,kw=4,method=simple"
2026-05-04T20:28:51,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/al-retirarme-del-curso-de-ingles-habra-un-reajuste-o-recalculo-en-mis-boletas,1,ignorada,,0,"words=242,kw=4,method=simple"
2026-05-04T20:28:54,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/puedo-pagar-mi-boleta-en-cuotas-con-mi-tarjeta-de-credito,1,ignorada,,0,"words=275,kw=5,method=simple"
2026-05-04T20:28:57,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/por-que-me-siguen-cobrando-las-cuotas-si-ya-hice-mi-retiro-del-ciclo-pregrado,1,html,/tmp/upc_documents/html_text/becas/explora_upc_edu_pe_77750-asesoramiento-en-cobranzas-y-pagos_por-que-me-siguen-co_7f87ac9b.txt,331,"method=simple,kw=8"
2026-05-04T20:29:01,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/solo-voy-a-matricularme-en-dos-asignaturas-por-que-han-emitido-mi-boleta-de-pago-como-si-fuera-llevar-mas-asignaturas-epe,1,ignorada,,0,"words=250,kw=5,method=simple"
2026-05-04T20:29:04,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/como-puedo-revisar-mi-deuda,1,ignorada,,0,"words=258,kw=3,method=simple"
2026-05-04T20:29:08,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/tengo-una-nota-de-credito-como-lo-aplico,1,html,/tmp/upc_documents/html_text/becas/explora_upc_edu_pe_77750-asesoramiento-en-cobranzas-y-pagos_tengo-una-nota-de-cr_bfffbdb8.txt,400,"method=simple,kw=4"
2026-05-04T20:29:11,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/existe-una-notificacion-de-morosidad,1,ignorada,,0,"words=239,kw=5,method=simple"
2026-05-04T20:29:27,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/puedo-pagar-mi-boleta-mediante-deposito-a-la-cuenta-de-upc-para-cancelar-mi-pension,1,ignorada,,0,"words=265,kw=1,method=playwright"
2026-05-04T20:29:31,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/tengo-boletas-vencidas-y-acabo-de-hacer-un-tramite-tengo-que-pagar-primero-mi-boleta-o-puedo-pagar-el-tramite,1,ignorada,,0,"words=293,kw=4,method=simple"
2026-05-04T20:29:35,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/%C2%BFcuales-son-los-costos-de-los-cursos-verano-2025-00/version/9?kb_language=es_ES,1,html,/tmp/upc_documents/html_text/becas/explora_upc_edu_pe_77750-asesoramiento-en-cobranzas-y-pagos__c2_bfcuales-son-los_af8e2f9d.txt,545,"method=simple,kw=9"
2026-05-04T20:29:36,https://www.upc.edu.pe/servicios/contacto-para-alumnos-upc/calendario/documentos/Calendario-Academico-AC-2025-0-version3.pdf,2,pdf,/tmp/upc_documents/pdfs/otros/www_upc_edu_pe_servicios_contacto-para-alumnos-upc_calendario_documentos_calenda_9afc99e7.pdf,0,101KB
2026-05-04T20:29:36,https://www.upc.edu.pe/servicios/contacto-para-alumnos-upc/calendario/documentos/Calendario-Academico-EPE-2025-0-version3.pdf,2,pdf,/tmp/upc_documents/pdfs/otros/www_upc_edu_pe_servicios_contacto-para-alumnos-upc_calendario_documentos_calenda_12fd5f7b.pdf,0,101KB
2026-05-04T20:29:41,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/%C2%BFpuedo-pagar-por-cr%C3%A9ditos-%C2%BFpara-qui%C3%A9nes-aplica,1,html,/tmp/upc_documents/html_text/becas/explora_upc_edu_pe_77750-asesoramiento-en-cobranzas-y-pagos__c2_bfpuedo-pagar-po_135d669b.txt,372,"method=simple,kw=8"
2026-05-04T20:29:44,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/%C2%BFc%C3%B3mo-reviso-el-detalle-de-mi-boleta,1,ignorada,,0,"words=234,kw=3,method=simple"
2026-05-04T20:29:48,https://explora.upc.edu.pe/77750-asesoramiento-en-cobranzas-y-pagos/%C2%BFcuales-son-los-costos-de-los-cursos-verano-2025-00,1,html,/tmp/upc_documents/html_text/becas/explora_upc_edu_pe_77750-asesoramiento-en-cobranzas-y-pagos__c2_bfcuales-son-los_23714cca.txt,439,"method=simple,kw=8"
2026-05-04T20:29:52,https://explora.upc.edu.pe/77774-devolucion-de-pagos/como-solicito-una-devolucion-de-pago,1,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe_77774-devolucion-de-pagos_como-solicito-una-devolucion-de-pag_381744ec.txt,617,"method=simple,kw=8"
2026-05-04T20:29:56,https://cdn.upc.edu.pe/static/pdf/tutoriales/Registro-apoderado-1702.pdf?_gl=1*15rt3m4*_gcl_au*MTg1OTQzNjAyNi4xNzMzOTM5ODgx*_ga*MTc5OTYyOTAwMy4xNzMzOTM5ODU5*_ga_7RCHXBNP5C*MTczNTU3NzM3OC4zOS4wLjE3MzU1NzczNzguNjAuMC4w,1,error,,0,non-html: application/pdf
2026-05-04T20:30:00,https://explora.upc.edu.pe/77774-devolucion-de-pagos/%C2%BFes-posible-que-mi-apoderado-reciba-la-devolucion-de-la-primera-boleta,1,ignorada,,0,"words=250,kw=3,method=simple"
2026-05-04T20:30:08,https://sica.upc.edu.pe/categoria/normalizacion/sica-reg-46-reglamento-de-admision-de-pregrado-y-pregrado-epe,1,ignorada,,0,"words=79,kw=2,method=playwright"
2026-05-04T20:30:11,https://explora.upc.edu.pe/77774-devolucion-de-pagos/acabo-de-ingresar-y-ya-realice-los-pagos-de-la-primera-boleta-pero-ya-no-estudiare-por-que-no-hay-devolucion-de-mi-dinero,1,ignorada,,0,"words=282,kw=4,method=simple"
2026-05-04T20:30:15,https://explora.upc.edu.pe/77774-devolucion-de-pagos/como-solicito-una-devolucion-de-pago?from_search=170565567,1,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe_77774-devolucion-de-pagos_como-solicito-una-devolucion-de-pag_3f479d9d.txt,617,"method=simple,kw=8"
2026-05-04T20:30:19,https://explora.upc.edu.pe/77774-devolucion-de-pagos/pague-la-boleta-de-verano-por-error-%C2%BFc%C3%B3mo-solicito-la-devoluci%C3%B3n,1,ignorada,,0,"words=224,kw=3,method=simple"
2026-05-04T20:30:24,https://explora.upc.edu.pe/79841-cargo-recurrente/cuales-son-las-causas-por-la-que-podria-realizarse-un-cargo-no-autorizado-a-la-tarjeta-afiliada,1,ignorada,,0,"words=289,kw=3,method=simple"
2026-05-04T20:30:27,https://www.upc.edu.pe/servicios/becas-creditos-y-cobranzas/sistema-de-pago-upc/index.html,1,html,/tmp/upc_documents/html_text/becas/www_upc_edu_pe_servicios_becas-creditos-y-cobranzas_sistema-de-pago-upc_index_ht_b287d28c.txt,338,"method=simple,kw=4"
2026-05-04T20:30:32,https://explora.upc.edu.pe/79841-cargo-recurrente/%C2%BFcomo-solicito-el-debito-automatico-de-mi-pension-en-mi-tarjeta-de-credito%C2%BFque-tajetas-puedo-afiliar,1,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe_79841-cargo-recurrente__c2_bfcomo-solicito-el-debito-automati_bf88d501.txt,323,"method=simple,kw=3"
